City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,28.78,56,38,2.03,IN,1730351944
1,longyearbyen,78.2186,15.6401,-7.09,73,75,1.03,SJ,1730351946
2,bilibino,68.0546,166.4372,-14.47,91,100,3.31,RU,1730351947
3,grytviken,-54.2811,-36.5092,0.06,86,31,4.14,GS,1730351948
4,ancud,-41.8697,-73.8203,8.22,95,15,1.76,CL,1730351949
5,nar'yan-mar,67.6713,53.087,0.18,95,100,8.41,RU,1730351888
6,tchintabaraden,15.8969,5.7985,24.02,16,100,4.21,NE,1730351951
7,happy valley-goose bay,53.3168,-60.3315,4.17,87,100,9.26,CA,1730351952
8,port alfred,-33.5906,26.891,16.21,91,45,2.02,ZA,1730351953
9,bredasdorp,-34.5322,20.0403,15.38,74,4,2.47,ZA,1730351954
10,lihue,21.9789,-159.3672,25.77,82,100,7.72,US,1730351929
11,kapa'a,22.0752,-159.319,26.18,85,100,7.72,US,1730351957
12,moron,-34.6534,-58.6198,22.94,76,0,6.71,AR,1730351958
13,holualoa,19.6228,-155.9522,24.91,81,40,4.12,US,1730351959
14,vorkuta,67.5,64.0,-8.21,94,86,2.99,RU,1730351960
15,crane,31.3974,-102.3501,18.14,15,5,3.31,US,1730351961
16,anadyr,64.75,177.4833,-0.72,74,20,12.0,RU,1730351962
17,boli,45.7667,130.5167,13.69,33,62,1.6,CN,1730351963
18,puerto ayora,-0.7393,-90.3518,20.31,98,46,2.68,EC,1730351964
19,neustadt an der waldnaab,49.7117,12.0872,9.06,93,100,0.0,DE,1730351966
20,port-aux-francais,-49.35,70.2167,4.18,84,23,11.33,TF,1730351967
21,waitangi,-43.9535,-176.5597,12.68,82,41,2.24,NZ,1730351968
22,ushuaia,-54.8,-68.3,5.81,70,40,2.57,AR,1730351969
23,pyhajarvi,67.0701,27.2176,-3.43,81,56,1.59,FI,1730351970
24,gadzhiyevo,69.2551,33.3362,-0.64,78,85,9.09,RU,1730351971
25,jamestown,42.097,-79.2353,17.8,63,0,3.6,US,1730352070
26,la ronge,55.1001,-105.2842,-1.86,69,75,4.63,CA,1730352071
27,college,64.8569,-147.8028,-14.75,79,40,3.09,US,1730352072
28,isangel,-19.55,169.2667,27.06,65,40,4.12,VU,1730352073
29,iqaluit,63.7506,-68.5145,-1.15,92,100,4.12,CA,1730352074
30,carbonear,47.7332,-53.2148,0.56,84,56,3.72,CA,1730352076
31,walvis bay,-22.9575,14.5053,13.53,94,100,3.09,NA,1730352077
32,la passe,45.5549,-0.8967,14.1,85,0,4.05,FR,1730352078
33,huron,41.1501,-82.5499,19.64,68,100,7.33,US,1730352080
34,mirnyy,62.5353,113.9611,-11.86,89,82,0.88,RU,1730352081
35,keflavik,64.0049,-22.5624,3.24,75,40,8.75,IS,1730352083
36,geraldton,-28.7667,114.6,35.23,26,6,7.72,AU,1730352084
37,newman,37.3138,-121.0208,13.91,56,5,1.34,US,1730352086
38,olonkinbyen,70.9221,-8.7187,-5.46,48,100,7.71,SJ,1730352087
39,adamstown,-25.066,-130.1015,21.09,75,98,11.33,PN,1730352088
40,yonan-up,37.9089,126.1611,18.21,51,4,2.33,KP,1730352089
41,aykhal,66.0,111.5,-10.47,94,98,2.06,RU,1730352091
42,marsh harbour,26.5412,-77.0636,25.43,64,46,11.93,BS,1730352092
43,manokwari,-0.8667,134.0833,29.17,70,50,2.59,ID,1730352094
44,val-d'or,48.1002,-77.7828,7.05,100,100,4.63,CA,1730352095
45,ar ruways,24.1103,52.7306,28.85,58,75,4.41,AE,1730352096
46,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,41,40,5.0,RU,1730352097
47,enewetak,11.3474,162.3373,28.72,76,52,5.97,MH,1730352098
48,uirauna,-6.5183,-38.4122,22.89,71,12,2.81,BR,1730352099
49,rongelap,11.1635,166.8941,28.55,78,83,5.79,MH,1730352100
50,huanta,-12.9333,-74.25,18.06,68,97,1.25,PE,1730352101
51,fort bragg,35.139,-79.006,17.85,90,0,2.57,US,1730352103
52,wladyslawowo,54.7909,18.4009,8.85,90,100,6.98,PL,1730352104
53,puerto natales,-51.7236,-72.4875,8.18,96,100,1.85,CL,1730352105
54,harper,4.375,-7.7169,24.39,91,96,2.67,LR,1730352106
55,fale old settlement,-9.3852,-171.2468,28.8,68,100,6.03,TK,1730352107
56,ukiah,39.1502,-123.2078,11.87,92,100,1.54,US,1730352108
57,lelystad,52.5083,5.475,12.77,95,6,1.34,NL,1730352109
58,miasskoye,55.2784,61.8905,1.49,82,23,4.79,RU,1730352111
59,wailua homesteads,22.0669,-159.378,25.44,86,100,7.72,US,1730352113
60,mount pearl,47.5166,-52.7813,0.53,85,0,3.6,CA,1730352114
61,uturoa,-16.7333,-151.4333,25.37,71,82,7.56,PF,1730352115
62,invercargill,-46.4,168.35,11.68,87,100,2.24,NZ,1730352084
63,mbandaka,0.0487,18.2603,21.49,98,100,2.45,CD,1730352117
64,ribeira grande,38.5167,-28.7,20.99,91,29,6.71,PT,1730352118
65,sinop,41.7711,34.8709,8.37,91,12,1.39,TR,1730352119
66,blackmans bay,-43.0167,147.3167,15.41,50,50,1.79,AU,1730352120
67,inhambane,-23.865,35.3833,25.99,65,75,4.12,MZ,1730352122
68,bikenibeu village,1.3673,173.1241,30.98,58,40,0.51,KI,1730352123
69,hawaiian paradise park,19.5933,-154.9731,23.28,98,100,2.57,US,1730352124
70,hanceville,34.0607,-86.7675,20.67,78,73,4.26,US,1730352125
71,umm al quwain city,25.5647,55.5552,29.18,60,0,1.65,AE,1730352126
72,aasiaat,68.7098,-52.8699,-13.02,77,100,5.86,GL,1730352127
73,priob'ye,62.5206,65.5964,-1.62,89,74,4.85,RU,1730352128
74,karratha,-20.7377,116.8463,37.92,25,5,6.51,AU,1730352129
75,yellowknife,62.456,-114.3525,-9.69,79,75,3.09,CA,1730351977
76,dumai,1.6833,101.45,31.98,60,93,2.43,ID,1730352132
77,viedma,-40.8135,-62.9967,21.61,60,100,6.85,AR,1730352133
78,kapuskasing,49.4169,-82.4331,3.05,100,100,3.09,CA,1730352134
79,kodiak,57.79,-152.4072,3.73,70,100,0.0,US,1730352135
80,talnakh,69.4865,88.3972,-12.85,95,100,3.78,RU,1730352136
81,jaguaruna,-28.615,-49.0256,20.78,79,69,6.03,BR,1730352137
82,haiku-pauwela,20.9219,-156.3051,24.01,87,75,8.49,US,1730352138
83,harstad,68.799,16.5293,-1.03,77,99,6.11,NO,1730352139
84,martinsicuro,42.8811,13.9145,15.07,99,0,2.84,IT,1730352141
85,bethel,41.3712,-73.414,17.23,80,100,0.89,US,1730352142
86,stanley,54.868,-1.6985,12.01,91,75,3.6,GB,1730352143
87,peno,56.9262,32.7426,2.02,77,43,5.69,RU,1730352144
88,edinburgh of the seven seas,-37.0676,-12.3116,13.1,79,11,7.29,SH,1730352145
89,hamilton,39.1834,-84.5333,20.02,78,40,5.66,US,1730352146
